date,Asyl,Flüchtlinge,Migration,Ausländer,Remigration,isPartial
2018-10-01,1,6,3,2,0,False
2018-11-01,1,6,4,2,0,False
2018-12-01,1,5,2,2,0,False
2019-01-01,1,5,2,2,0,False
2019-02-01,1,5,2,2,0,False
2019-03-01,1,4,2,2,0,False
2019-04-01,1,4,2,2,0,False
2019-05-01,1,4,2,3,0,False
2019-06-01,1,4,2,2,0,False
2019-07-01,1,6,2,2,0,False
2019-08-01,1,5,2,2,0,False
2019-09-01,1,5,2,2,0,False
2019-10-01,1,4,2,2,0,False
2019-11-01,1,3,2,2,0,False
2019-12-01,1,3,2,2,0,False
2020-01-01,1,3,2,2,0,False
2020-02-01,1,4,2,2,0,False
2020-03-01,1,11,2,3,0,False
2020-04-01,1,4,2,2,0,False
2020-05-01,1,3,2,2,0,False
2020-06-01,1,2,2,2,0,False
2020-07-01,1,2,2,2,0,False
2020-08-01,1,2,2,2,0,False
2020-09-01,1,5,2,2,0,False
2020-10-01,1,3,2,2,0,False
2020-11-01,1,2,2,2,0,False
2020-12-01,1,2,2,1,0,False
2021-01-01,1,3,2,2,0,False
2021-02-01,1,2,2,2,0,False
2021-03-01,1,2,2,2,0,False
2021-04-01,0,2,2,2,0,False
2021-05-01,1,2,2,2,0,False
2021-06-01,1,2,2,2,0,False
2021-07-01,1,2,2,2,0,False
2021-08-01,1,3,2,2,0,False
2021-09-01,1,2,2,2,0,False
2021-10-01,1,3,2,2,0,False
2021-11-01,1,5,2,2,0,False
2021-12-01,1,3,2,2,0,False
2022-01-01,1,2,2,2,0,False
2022-02-01,1,5,3,2,0,False
2022-03-01,1,28,3,2,0,False
2022-04-01,1,9,2,2,0,False
2022-05-01,1,6,2,2,0,False
2022-06-01,1,4,2,2,0,False
2022-07-01,1,3,2,2,0,False
2022-08-01,1,3,2,2,0,False
2022-09-01,1,4,2,2,0,False
2022-10-01,1,4,2,2,0,False
2022-11-01,1,4,2,2,0,False
2022-12-01,1,3,2,2,0,False
2023-01-01,1,3,2,3,0,False
2023-02-01,1,5,3,2,0,False
2023-03-01,1,3,3,2,0,False
2023-04-01,1,3,2,2,0,False
2023-05-01,1,3,2,2,0,False
2023-06-01,1,3,2,2,0,False
2023-07-01,1,3,2,2,0,False
2023-08-01,1,3,2,2,0,False
2023-09-01,1,5,3,3,0,False
2023-10-01,1,5,3,2,0,False
2023-11-01,1,4,3,3,0,False
2023-12-01,1,3,3,2,0,False
2024-01-01,1,4,4,4,2,False
2024-02-01,1,4,3,3,1,False
2024-03-01,1,3,3,2,0,False
2024-04-01,1,2,3,3,0,False
2024-05-01,1,2,3,5,0,False
2024-06-01,1,3,3,5,0,False
2024-07-01,1,2,3,3,0,False
2024-08-01,1,3,3,3,0,False
2024-09-01,1,3,4,3,0,False
2024-10-01,1,2,3,2,0,False
2024-11-01,1,2,3,2,0,False
2024-12-01,1,2,2,2,0,False
