DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Germany,2022,83237124.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Germany,2023,83118501.0,b,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Population on 1 January - total,Germany,2024,83456045.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2010,-180821.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2011,-189643.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2012,-196038.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2013,-211756.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2014,-153429.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2015,-187625.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2016,-118761.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2017,-147371.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2018,-167351.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2019,-161430.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2020,-212428.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2021,-228195.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2022,-327522.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2023,-335217.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Natural change of population,Germany,2024,-330641.0,,
